requirement_id,level,area,candidate_statement,classification,value,unit,rationale,verification_method,owner,approval_status,source_or_provenance,affected_subsystems
ELE-006,subsystem,electron beam,Define approved arrival-time jitter and statistical convention,TBD,TBD,s,Temporal overlap stability,TBD,project owner,open,Milestone 2 section 2.4,"injector; linac; synchronization; controls"
ELE-007,subsystem,electron beam,Define approved position and pointing stability at the interaction point,TBD,TBD,rad,Spatial overlap stability,TBD,project owner,open,Milestone 2 section 2.4,"transport; interaction region; controls; diagnostics"
LAS-001,subsystem,laser,Define approved incident wavelength and spectral reference convention,TBD,TBD,nm,Reference-case photon-energy control,TBD,project owner,open,Milestone 2 sections 2.3 and 2.4,"laser; interaction region"
LAS-002,subsystem,laser,Define approved pulse energy at a named interface,TBD,TBD,J,Photon yield,TBD,project owner,open,Milestone 2 section 2.4,"laser; transport; interaction region"
LAS-003,subsystem,laser,Define approved pulse duration and RMS or FWHM convention,TBD,TBD,s,Temporal overlap and peak intensity,TBD,project owner,open,Milestone 2 section 2.4,"laser; synchronization; interaction region"
LAS-004,subsystem,laser,Define approved waist using the 1/e^2 intensity-radius convention,TBD,TBD,m,Spatial overlap and nonlinear parameter,TBD,project owner,open,Milestone 2 sections 2.4 and 2.5,"laser transport; interaction region"
LAS-005,subsystem,laser,Define approved normalized vector potential a0 and evaluation convention,TBD,TBD,dimensionless,Nonlinear-regime control,TBD,project owner,open,Milestone 2 section 2.4,"laser; interaction region; physics model"
LAS-006,subsystem,laser,Define approved spectral bandwidth and RMS or FWHM convention,TBD,TBD,dimensionless,EUV bandwidth contribution,TBD,project owner,open,Milestone 2 section 2.4,"laser; interaction region"
LAS-007,subsystem,laser,Define approved polarization basis state and stability,TBD,TBD,dimensionless,Scattering yield and output polarization,TBD,project owner,open,Milestone 2 section 2.4,"laser; interaction region; EUV diagnostics"
LAS-008,subsystem,laser,Define approved timing jitter relative to the electron bunch,TBD,TBD,s,Temporal overlap,TBD,project owner,open,Milestone 2 section 2.4,"laser; synchronization; controls"
LAS-009,subsystem,laser,Define approved pulse-energy and pointing stability metrics,TBD,TBD,dimensionless,Output stability,TBD,project owner,open,Milestone 2 section 2.4,"laser; interaction region; controls"
INT-001,subsystem,interaction geometry,Define approved collision angle using the controlled propagation-vector convention,TBD,TBD,degree,Scattered photon energy and geometry,TBD,project owner,open,Milestone 2 sections 2.4 and 2.5,"electron transport; laser transport; interaction region"
INT-002,subsystem,interaction geometry,Define approved observation angle and angular acceptance,TBD,TBD,sr,Spectrum and collected flux,TBD,project owner,open,Milestone 2 sections 2.4 and 2.5,"interaction region; EUV transport; diagnostics"
INT-003,subsystem,interaction geometry,Define approved spatial overlap tolerance and width convention,TBD,TBD,m,Photon yield and stability,TBD,project owner,open,Milestone 2 section 2.4,"electron transport; laser transport; controls; diagnostics"
INT-004,subsystem,interaction geometry,Define approved temporal overlap tolerance and statistical convention,TBD,TBD,s,Photon yield and stability,TBD,project owner,open,Milestone 2 section 2.4,"synchronization; controls; diagnostics"
OPT-001,subsystem,EUV transport,Define approved collection solid angle and aperture geometry,TBD,TBD,sr,Collected flux and spectrum,TBD,project owner,open,Milestone 2 section 2.4,"interaction region; EUV optics; diagnostics"
OPT-002,subsystem,EUV transport,Define approved wavelength-dependent transmission budget,TBD,TBD,dimensionless,Delivered flux,TBD,project owner,open,Milestone 2 section 2.4,"EUV optics; filters; detector"
OPT-003,subsystem,EUV transport,Define approved delivered beam size divergence and pointing,TBD,TBD,rad,End-interface compatibility,TBD,project owner,open,Milestone 2 section 2.4,"EUV optics; diagnostics; external interface"
DIA-001,subsystem,diagnostics,Define approved wavelength and bandwidth measurement range resolution and uncertainty,TBD,TBD,nm,Performance verification,TBD,project owner,open,Milestone 2 section 2.4,"EUV diagnostics; detector; data acquisition"
DIA-002,subsystem,diagnostics,Define approved flux or power measurement range and uncertainty,TBD,TBD,dimensionless,Performance verification,TBD,project owner,open,Milestone 2 section 2.4,"EUV diagnostics; detector; data acquisition"
DIA-003,subsystem,diagnostics,Define approved electron laser timing overlap and pointing diagnostic capability,TBD,TBD,dimensionless,Setup and stability verification,TBD,project owner,open,Milestone 2 sections 2.2 and 2.4,"beam diagnostics; laser diagnostics; controls"
CTL-001,subsystem,controls,Define approved synchronization performance and verification interval,TBD,TBD,s,Temporal overlap control,TBD,project owner,open,Milestone 2 sections 2.2 and 2.4,"timing; controls; injector; laser"
CTL-002,subsystem,controls,Define approved interlock and machine-protection functions,TBD,TBD,dimensionless,Equipment and personnel protection,TBD,project owner,open,Milestone 2 section 2.4,"all subsystems; safety systems"
FAC-001,system,facility,Define approved utility loads quality and interface points,TBD,TBD,dimensionless,Facility integration,TBD,project owner,open,Milestone 2 sections 2.2 and 2.4,"RF; cryogenics; cooling; electrical; vacuum; controls"
FAC-002,system,facility,Define approved maintainability access and recovery criteria,TBD,TBD,dimensionless,Availability and lifecycle operation,TBD,project owner,open,Milestone 2 section 2.4,"all subsystems; facility"
SAF-001,system,safety,Define approved radiation dose criteria shielding boundary and operating states,TBD,TBD,Sv,Personnel and public protection,TBD,project owner,open,Milestone 2 sections 2.2 and 2.4,"electron beam; dump; shielding; access control"
SAF-002,system,safety,Define approved access control radiation monitoring and safety-interlock functions,TBD,TBD,dimensionless,Safe operation and verification,TBD,project owner,open,Milestone 2 section 2.4,"safety systems; controls; facility"
DAT-001,subsystem,data,Define approved acquisition metadata provenance retention and reproducibility requirements,TBD,TBD,dimensionless,Traceable calculations and measurements,TBD,project owner,open,Milestone 2 section 2.2,"diagnostics; controls; simulation; data archive"
